Temperatura média:    26.32022727272717
Umidade média:        63.32727272727273
mq3 média:            252.3840909090909
mq4 média:            427.00454545454545
mq7 média:            120.42727272727272
mq8 média:            188.8409090909091
mq135 média:          864.209090909091

24.20,78.00,303,518,125,214,889
26.50,61.00,248,422,120,188,866,Sat Dec 28 19:35:41 2024
26.40,61.00,248,424,120,188,866,Sat Dec 28 19:35:51 2024
26.40,61.00,250,425,120,188,866,Sat Dec 28 19:36:01 2024
26.40,61.00,249,424,121,189,867,Sat Dec 28 19:36:11 2024
26.40,61.00,249,424,120,189,866,Sat Dec 28 19:36:21 2024
26.40,61.00,249,422,120,189,866,Sat Dec 28 19:36:31 2024
26.40,61.00,249,421,120,190,866,Sat Dec 28 19:36:41 2024
26.40,62.00,248,421,121,190,866,Sat Dec 28 19:36:51 2024
26.40,62.00,248,419,121,190,865,Sat Dec 28 19:37:01 2024
26.50,62.00,247,418,121,190,865,Sat Dec 28 19:37:11 2024
26.40,61.00,247,418,121,189,865,Sat Dec 28 19:37:21 2024
26.50,61.00,246,417,121,189,865,Sat Dec 28 19:37:31 2024
26.50,61.00,246,417,120,189,865,Sat Dec 28 19:37:41 2024
26.50,61.00,246,416,121,189,866,Sat Dec 28 19:37:51 2024
26.50,61.00,245,417,120,188,866,Sat Dec 28 19:38:01 2024
26.50,61.00,245,419,121,188,865,Sat Dec 28 19:38:11 2024
26.50,61.00,246,419,121,188,865,Sat Dec 28 19:38:21 2024
26.50,61.00,247,421,121,188,865,Sat Dec 28 19:38:31 2024
26.50,61.00,247,422,121,188,865,Sat Dec 28 19:38:42 2024
26.50,61.00,246,420,121,189,865,Sat Dec 28 19:38:52 2024
26.40,61.00,246,421,121,188,865,Sat Dec 28 19:39:02 2024
26.40,61.00,246,421,121,187,865,Sat Dec 28 19:39:12 2024
26.40,61.00,246,422,121,187,865,Sat Dec 28 19:39:22 2024
26.40,61.00,246,422,121,187,865,Sat Dec 28 19:39:32 2024
26.40,61.00,246,423,121,187,866,Sat Dec 28 19:39:42 2024
26.40,61.00,246,423,121,188,865,Sat Dec 28 19:39:52 2024
26.40,61.00,246,423,121,189,866,Sat Dec 28 19:40:02 2024
26.40,61.00,245,422,121,190,866,Sat Dec 28 19:40:12 2024
26.40,61.00,244,421,121,189,865,Sat Dec 28 19:40:22 2024
26.40,61.00,244,420,121,189,866,Sat Dec 28 19:40:32 2024
26.40,61.00,244,420,120,188,865,Sat Dec 28 19:40:42 2024
26.40,61.00,245,421,121,188,866,Sat Dec 28 19:40:52 2024
26.40,61.00,245,423,121,189,866,Sat Dec 28 19:41:02 2024
26.40,61.00,245,423,121,189,866,Sat Dec 28 19:41:12 2024
26.40,61.00,244,423,122,189,866,Sat Dec 28 19:41:22 2024
26.40,61.00,244,423,121,189,865,Sat Dec 28 19:41:32 2024
26.40,61.00,244,423,121,189,866,Sat Dec 28 19:41:42 2024
26.40,61.00,243,421,121,188,866,Sat Dec 28 19:41:52 2024
